デバレ	出張れ	768		501	-14.3129
デフツウ	で普通	149	1287	17	-11.1522
デナケレバ	でなければ	458	318	17	-9.8211
デノミ		1285		286	-15.0503
デーメーテール		1288		222	-13.8670
デサカロ	出盛ろ	778		501	-18.5469
デラーズフンソウ	デラーズ紛争	1288		190	-14.5341
デンシャ	🚃	5		501	-21.8856
デスカ	ですか	1292		501	-8.8199
デネ	でね	458	279	17	-10.3759
デスネ	ですね	460	279	17	-6.7547
デモナク	でもなく	458	36	17	-10.4709
デキタテ	出来たて	1285		501	-18.7236
デカカレ	で書かれ	149	876	17	-11.0537
デカセ	でかせ	734		501	-12.7618
デハナク	ではなく	149	481	17	-8.6089
ディスティニー	DESTINY	1289		415	-13.9104
デリバティブ		1285		286	-13.6627
デミル	で見る	149	619	17	-9.9216
デモシーン		1288		296	-14.5341
デンリョク	伝力	1285		501	-18.6282
デキン	出来ん	1285	1310	17	-13.2962
デザインハ	デザインは	1283	261	17	-10.8022
ディーエス	ds	1285		151	-17.9351
デモン		1285		459	-14.7685
デジタルピアノ		1288		501	-14.9334
デンドウ	電導	1285		384	-15.4240
ディーエムエムメイク	DMM.make	1288		501	-14.7164
デコホームゲンテイヒン	デコホーム限定品	1285	1298	17	-12.9046
デニーズ		1292		274	-12.4645
ディーアイエー	dia	1285		232	-17.9351
デイサ	泥沙	1285		501	-18.6282
ディーアイアール	dir	1288		461	-14.3843
デジキューブ		1292		274	-13.2165
デトマッ	で止まっ	149	786	17	-11.2070
デカンタンニ	で簡単に	149	329	17	-11.2486
デンショウ	伝誦	1285		501	-18.6282
デンワチョウ	電話帳	1288		363	-13.1760
デッカキャ	でっかきゃ	17		420	-10.4076
デハナカッ	ではなかっ	458	34	17	-10.2141
デンセツノポケモン	伝説のポケモン	1289		89	-13.3186
ディティール		1285		95	-14.1659
デイイ	でいい	308	131	17	-10.9387
デテナイ	出てない	625	473	17	-10.6463
デモ		776		501	-17.3368
デンキシキ	電気式	1285	1298	17	-12.8875
デミズマイ	出水麻衣	1289		122	-17.6270
デジコ	でじこ	1288		113	-14.7349
デアッタガ	であったが	458	299	17	-9.5235
ディーブイビー	DVB	1288		9	-14.6999
デカスギ	デカすぎ	1285	1305	17	-12.3316
デゲイコ	出稽古	1285		364	-14.3795
デキダカ	出来高	1285		286	-13.1509
デスギ	出すぎ	1298	1305	17	-13.0661
デカセグ	で稼ぐ	149	723	17	-11.2104
デアリタイ	でありたい	458	444	17	-10.9588
デ		1289		149	-17.9060
デカキン		1289		122	-18.2870
デススティンガー		1288		190	-14.4696
デキルヨウニナッ	出来るようになっ	619	786	17	-11.3075
デモドリ	出もどり	1285		501	-18.7236
デアルイ	出歩い	687		147	-11.6406
ディーシー	dc	1285		226	-18.1358
デアルク	出歩く	695		147	-14.6770
ディレクターズ・カット		1288		24	-14.6046
デダシ	出出し	1285		501	-18.4161
デメガ	で目が	149	148	17	-11.1984
デヨイン	で良いん	458	1310	17	-11.2695
デソロウ	出そろう	817		501	-13.7603
デエンソウ	で演奏	149	1283	17	-11.2504
ディーアールティーエス	drts	1285		501	-17.9351
デンソウ	電装	1285		426	-12.2084
デザコウ	デザ工	1285		501	-18.0304
デハッピョウ	で発表	149	1283	17	-10.6008
デハナイ	ではない	458	473	17	-8.1624
ディーエヌエーシュウフク	DNA修復	1288		355	-13.7659
デスタン		1289		38	-13.5576
デーエフベー	DFB	1288		348	-14.8035
ディーエイチエー	dha	1285		501	-17.9351
ディーエヌエー	DeNA	1292		316	-10.1957
デザキオサム	出崎統	1289		96	-12.9491
デンワカイセン	電話回線	1288		20	-12.6866
デシイリ	弟子入り	1285	1297	17	-12.1406
ディアスポラ		1288		408	-13.7478
デナオシ	でなおし	735		501	-17.7286
デショウヒン	で賞品	149	1285	17	-10.6319
デデ		1289		462	-16.7429
デキアッ	出来合っ	829		501	-18.3179
デンイチ	伝一	1291		501	-17.0738
デワノウミイチモン	出羽海一門	1288		124	-14.0834
ディーエフエックス	dfx	1285		501	-17.9351
データリンクソウ	データリンク層	1288		45	-14.1799
デカセ	出来せ	729		501	-15.5328
デトロイト・ピストンズ		1288		62	-13.8981
ディアス		1290		255	-11.7809
デナオス	でなおす	731		501	-17.6572
デキイ	で聞い	149	687	17	-10.4799
デテキテ	出てきて	625	307	17	-9.6181
ディスコミュニケーション		1288		396	-14.5996
デツクッタ	で作った	149	435	17	-10.3486
デジタルゴウセイ	デジタル合成	1288		139	-14.6211
デジンセイ	で人生	149	1285	17	-11.0310
デベソ	でべそ	1285		501	-19.2344
デシャバル	出しゃばる	772		501	-14.9529
デンキチ	傳吉	1291		501	-15.6074
デンショウ	電照	1285		501	-18.6282
デル	Dell	1288		232	-14.6514
デジカン	で時間	149	1314	17	-10.9171
デレスケ	でれすけ	1285		501	-19.2344
デキレ	できれ	617		481	-4.9433
デ	で	625		468	-9.0236
デシャバン	出しゃばん	782		501	-15.0759
デシテ	でして	466	307	17	-10.4000
デフォ		1288		501	-12.2829
ディビジョンワン	ディビジョン1	1288		428	-14.1796
デュエル・マスターズ		1288		415	-14.9735
デイマシタ	でいました	308	435	17	-10.7124
デボ		1285		426	-14.1873
デキルト	できると	619	164	17	-9.9108
デン	鈿	1285		4	-18.6282
ディエゴ		1291		329	-11.6005
デカイ	デカい	19		501	-10.1613
デンエンチョウフ	田園調布	1293		2	-11.9709
デハタライ	で働い	149	687	17	-10.1552
デンシン	田紳	1285		501	-16.2640
デオクレリャ	出遅れりゃ	618		63	-11.5931
デカエリ	出かえり	1285		501	-18.7236
デデデ		1288		26	-13.8479
デタイヘン	で大変	149	1287	17	-10.9174
デジタルイチガンレフカメラ	デジタル一眼レフカメラ	1288		315	-14.0609
デホウソウサレ	で放送され	149	876	17	-10.4529
